Customer_ID,Customer_Type,Age_Group,Preferred_Product,Orders_Per_Month,Days_Since_Last_Order
CUST1000,Regular,Young Adult (20-35),Jar Cake,2.0,57
CUST1001,Regular,Adult (36-55),Croissant,4.2,40
CUST1002,Loyal,Young Adult (20-35),Brownie,1.2,116
CUST1003,New,Young Adult (20-35),Jar Cake,5.0,78
CUST1004,New,Adult (36-55),Cake,1.0,114
CUST1005,New,Adult (36-55),Croissant,1.3,110
CUST1006,Regular,Young Adult (20-35),Brownie,6.8,53
CUST1007,New,Adult (36-55),Cake,5.4,75
CUST1008,Regular,Adult (36-55),Cake,1.2,40
CUST1009,Regular,Adult (36-55),Cookies,1.1,47
CUST1010,Regular,Young Adult (20-35),Jar Cake,2.0,95
CUST1011,Regular,Teen (13-19),Cupcake,3.1,69
CUST1012,New,Adult (36-55),Cookies,3.9,115
CUST1013,Loyal,Adult (36-55),Cookies,2.5,26
CUST1014,Loyal,Adult (36-55),Croissant,1.8,46
CUST1015,New,Teen (13-19),Chocolate,5.3,76
CUST1016,New,Adult (36-55),Cake,2.6,116
CUST1017,Loyal,Adult (36-55),Cookies,2.9,22
CUST1018,New,Young Adult (20-35),Croissant,1.5,73
CUST1019,New,Young Adult (20-35),Brownie,6.3,13
CUST1020,Regular,Adult (36-55),Croissant,1.9,60
CUST1021,New,Adult (36-55),Cake,1.2,66
CUST1022,New,Teen (13-19),Jar Cake,0.9,75
CUST1023,Regular,Adult (36-55),Croissant,1.1,24
CUST1024,Regular,Adult (36-55),Cake,2.9,64
CUST1025,Loyal,Adult (36-55),Cake,3.5,95
CUST1026,Loyal,Adult (36-55),Cake,7.1,23
CUST1027,New,Adult (36-55),Croissant,2.9,52
CUST1028,New,Teen (13-19),Chocolate,1.5,111
CUST1029,Regular,Young Adult (20-35),Brownie,8.2,105
CUST1030,Regular,Adult (36-55),Croissant,6.1,72
CUST1031,New,Teen (13-19),Chocolate,1.2,49
CUST1032,New,Adult (36-55),Cookies,0.6,0
CUST1033,New,Adult (36-55),Cookies,1.8,105
CUST1034,Regular,Young Adult (20-35),Croissant,0.2,38
CUST1035,New,Adult (36-55),Cookies,0.7,73
CUST1036,Loyal,Young Adult (20-35),Jar Cake,5.7,43
CUST1037,New,Young Adult (20-35),Jar Cake,3.4,106
CUST1038,Loyal,Young Adult (20-35),Croissant,2.4,104
CUST1039,Loyal,Senior (56+),Cookies,2.9,93
CUST1040,Regular,Young Adult (20-35),Croissant,1.2,4
CUST1041,Regular,Adult (36-55),Cookies,3.4,67
CUST1042,Regular,Teen (13-19),Cupcake,8.2,115
CUST1043,New,Teen (13-19),Chocolate,3.8,108
CUST1044,New,Teen (13-19),Cupcake,0.7,71
CUST1045,Regular,Adult (36-55),Croissant,2.0,79
CUST1046,Regular,Young Adult (20-35),Jar Cake,4.7,64
CUST1047,Regular,Young Adult (20-35),Croissant,1.3,112
CUST1048,Regular,Adult (36-55),Croissant,2.4,78
CUST1049,Regular,Young Adult (20-35),Jar Cake,1.4,87
CUST1050,Regular,Young Adult (20-35),Croissant,6.1,14
CUST1051,Regular,Young Adult (20-35),Jar Cake,3.3,49
CUST1052,Regular,Young Adult (20-35),Jar Cake,1.7,5
CUST1053,Loyal,Adult (36-55),Cake,3.2,65
CUST1054,Regular,Young Adult (20-35),Croissant,2.9,68
CUST1055,Regular,Young Adult (20-35),Brownie,0.1,114
CUST1056,Regular,Senior (56+),Cake,1.4,38
CUST1057,Regular,Senior (56+),Muffin,4.6,104
CUST1058,Regular,Adult (36-55),Cake,3.7,97
CUST1059,New,Senior (56+),Cookies,1.9,102
CUST1060,Loyal,Adult (36-55),Cake,3.7,95
CUST1061,New,Adult (36-55),Cookies,6.1,28
CUST1062,Regular,Adult (36-55),Cake,2.0,92
CUST1063,New,Adult (36-55),Cake,2.0,87
CUST1064,New,Adult (36-55),Croissant,3.6,45
CUST1065,Regular,Teen (13-19),Chocolate,3.1,30
CUST1066,Regular,Adult (36-55),Croissant,7.3,23
CUST1067,Loyal,Adult (36-55),Cake,6.0,118
CUST1068,New,Adult (36-55),Cookies,1.0,14
CUST1069,New,Young Adult (20-35),Jar Cake,2.6,75
CUST1070,New,Young Adult (20-35),Jar Cake,0.9,19
CUST1071,Regular,Young Adult (20-35),Jar Cake,1.8,3
CUST1072,Loyal,Young Adult (20-35),Jar Cake,4.7,57
CUST1073,Regular,Teen (13-19),Chocolate,0.9,76
CUST1074,Regular,Young Adult (20-35),Brownie,7.6,60
CUST1075,Loyal,Young Adult (20-35),Brownie,5.0,104
