Date,Ingredient,Price_Per_Unit
2024-01-01,Flour,44.95
2024-01-01,Butter,482.41
2024-01-01,Sugar,41.09
2024-01-01,Eggs,6.02
2024-01-01,Cocoa,652.01
2024-01-02,Flour,44.98
2024-01-02,Butter,481.64
2024-01-02,Sugar,40.03
2024-01-02,Eggs,6.0
2024-01-02,Cocoa,663.6
2024-01-03,Flour,44.98
2024-01-03,Butter,480.13
2024-01-03,Sugar,40.07
2024-01-03,Eggs,6.02
2024-01-03,Cocoa,667.61
2024-01-04,Flour,44.88
2024-01-04,Butter,482.17
2024-01-04,Sugar,40.82
2024-01-04,Eggs,6.08
2024-01-04,Cocoa,682.47
2024-01-05,Flour,44.59
2024-01-05,Butter,490.17
2024-01-05,Sugar,40.51
2024-01-05,Eggs,6.1
2024-01-05,Cocoa,686.58
2024-01-06,Flour,44.36
2024-01-06,Butter,490.39
2024-01-06,Sugar,40.92
2024-01-06,Eggs,6.05
2024-01-06,Cocoa,696.7
2024-01-07,Flour,43.75
2024-01-07,Butter,499.49
2024-01-07,Sugar,41.36
2024-01-07,Eggs,6.05
2024-01-07,Cocoa,693.15
2024-01-08,Flour,43.55
2024-01-08,Butter,498.45
2024-01-08,Sugar,41.35
2024-01-08,Eggs,6.12
2024-01-08,Cocoa,705.08
2024-01-09,Flour,43.67
2024-01-09,Butter,494.02
2024-01-09,Sugar,41.14
2024-01-09,Eggs,6.11
2024-01-09,Cocoa,697.29
2024-01-10,Flour,43.17
2024-01-10,Butter,503.81
2024-01-10,Sugar,41.28
2024-01-10,Eggs,6.06
2024-01-10,Cocoa,701.65
2024-01-11,Flour,42.67
2024-01-11,Butter,498.07
2024-01-11,Sugar,40.96
2024-01-11,Eggs,6.15
2024-01-11,Cocoa,698.97
2024-01-12,Flour,41.62
2024-01-12,Butter,503.52
2024-01-12,Sugar,40.85
2024-01-12,Eggs,6.04
2024-01-12,Cocoa,695.93
2024-01-13,Flour,41.92
2024-01-13,Butter,504.99
2024-01-13,Sugar,41.63
2024-01-13,Eggs,5.99
2024-01-13,Cocoa,695.32
2024-01-14,Flour,41.67
2024-01-14,Butter,497.09
2024-01-14,Sugar,42.01
2024-01-14,Eggs,6.02
2024-01-14,Cocoa,696.26
2024-01-15,Flour,41.93
2024-01-15,Butter,493.45
2024-01-15,Sugar,41.59
2024-01-15,Eggs,6.02
2024-01-15,Cocoa,702.88
2024-01-16,Flour,42.71
2024-01-16,Butter,497.0
2024-01-16,Sugar,41.61
2024-01-16,Eggs,6.03
2024-01-16,Cocoa,701.9
2024-01-17,Flour,42.3
